id_question	question	domain_type	comparison	assessment	detail	scope	entities
1	Is there an additional charge to use the spa at Hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
2	Does Hotel Aria have a swimming pool?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
3	Does Hotel Aria have a gym?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
4	What time is check out at Hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
5	What time is check out at Hotel Aria?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
6	Is there a restaurant in Hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
7	Is there a restaurant in Hotel Aria?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
8	Which hotel is near main square	domain	non-comparative	subjective	aspect	indefinite	[]
9	which hotel has free wifi?	domain	non-comparative	factoid	aspect	indefinite	[]
10	which hotel has free wifi with the highest rating	domain	comparative	subjective	aspect	indefinite	[]
11	which hotel supplies good food	domain	non-comparative	subjective	aspect	indefinite	[]
12	does hotel emily have any bad reviews	domain	non-comparative	subjective	overall	single	['Hotel Emily']
13	Which hotel has the best facilities	domain	comparative	subjective	aspect	indefinite	[]
14	Which is in the best location	domain	comparative	subjective	aspect	indefinite	[]
15	Which hotel has the best location	domain	comparative	subjective	aspect	indefinite	[]
16	Which hotel has the best food	domain	comparative	subjective	aspect	indefinite	[]
17	Which hotel has the best facilities	domain	comparative	subjective	aspect	indefinite	[]
18	Which hotel has the best price	domain	comparative	subjective	aspect	indefinite	[]
19	Which hotel is cheapest	domain	comparative	factoid	aspect	indefinite	[]
20	Why is Hotel Emily the most expensive?	domain	comparative	why-recommended	aspect	single	['Hotel Emily']
21	Is Hotel Levi in a good location?	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
22	Does Hotel Penelope have good features?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
23	Why is Hotel Emily expensive?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
24	Why is Hotel Emily in a good location?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
25	Why is Hotel Henry cheap?	domain	non-comparative	why-recommended	aspect	single	['Hotel Henry']
26	Do you have executive rooms?	domain	non-comparative	factoid	aspect	indefinite	[]
27	How far are the hotels from the nearest station?	domain	comparative	factoid	aspect	indefinite	[]
28	What's the cheapest room?	domain	comparative	factoid	aspect	indefinite	[]
29	what facilities does hotel penelope have	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
30	what makes hotel emily a good price	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
31	does hotel hannah have a great room	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
32	what facilities does hotel henry have	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
33	is hotel levi in a good location	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
34	is the price of hotel levi reasonable	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
35	is hotel emily better than hotel leiv	domain	comparative	subjective	overall	single	['Hotel Emily']
36	is the price of hotel hannah reasonable	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
37	is hotel hannah in a good location	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
38	How close to Hotel Penelope is the nearest airport?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
39	Can I see the menu for the restaurant at Hotel emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
40	Does Hotel Levi have a swimming pool?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
41	Does Hotel Hannah have a spa?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
42	Can I pick a hotel room at hotel aria?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
43	Which hotel has the best reviews?	domain	comparative	subjective	overall	indefinite	[]
